"Value of Exports by Major Country/Region/Certain Entity of Destination (FOB value:million US$), 2000-2025",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region/Certain Entity of Destination,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,
NAFTA," 8,879.3 "," 8,138.9 "," 8,200.8 "," 7,994.0 "," 9,483.3 "," 10,609.9 "," 12,101.2 "," 12,525.8 "," 14,108.4 "," 11,746.5 "," 15,761.2 "," 18,077.8 "," 16,316.7 "," 17,161.3 "," 18,136.0 "," 17,787.1 "," 17,688.9 "," 19,602.3 "," 20,259.0 "," 19,642.1 "," 20,348.2 "," 28,160.9 "," 31,173.0 "," 26,733.3 "," 30,240.1 "," 35,099.2 "
United States," 8,475.4 "," 7,748.7 "," 7,558.6 "," 7,373.7 "," 8,767.3 "," 9,868.5 "," 11,232.1 "," 11,614.2 "," 13,036.9 "," 10,850.0 "," 14,266.6 "," 16,459.1 "," 14,874.4 "," 15,691.7 "," 16,530.1 "," 16,240.8 "," 16,141.4 "," 17,794.5 "," 18,439.8 "," 17,844.6 "," 18,622.5 "," 25,793.0 "," 28,197.1 "," 23,272.2 "," 26,538.3 "," 30,947.1 "
Canada, 403.9 , 390.2 , 378.0 , 382.1 , 436.5 , 464.3 , 551.0 , 550.6 , 645.4 , 512.5 , 731.9 , 960.3 , 792.4 , 782.3 , 755.0 , 722.3 , 732.4 , 821.2 , 913.9 , 858.2 , 789.1 ," 1,063.3 "," 1,276.0 "," 1,300.2 "," 1,442.8 "," 1,697.8 "
Mexico, - , - , 264.2 , 238.1 , 279.4 , 277.1 , 318.1 , 361.0 , 426.1 , 384.0 , 762.7 , 658.4 , 649.9 , 687.3 , 850.9 , 824.0 , 815.1 , 986.6 , 905.3 , 939.3 , 936.5 ," 1,304.5 "," 1,699.9 "," 2,161.0 "," 2,259.0 "," 2,454.4 "
Rest of America," 1,074.6 ", 993.3 , - , - , 851.6 ," 1,053.3 "," 1,405.0 "," 1,623.0 "," 1,972.3 "," 1,717.2 "," 2,740.3 "," 3,295.2 "," 2,975.2 "," 3,018.5 "," 2,899.6 "," 2,450.2 "," 2,399.1 "," 2,576.6 "," 2,693.4 "," 2,392.6 "," 2,296.0 "," 3,708.8 "," 4,128.0 "," 3,802.7 "," 4,406.1 "," 5,318.2 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union1)," 8,855.1 "," 7,926.0 "," 8,161.6 "," 8,230.5 "," 9,093.2 "," 10,326.5 "," 12,029.8 "," 13,344.5 "," 15,454.5 "," 13,568.1 "," 17,127.4 "," 20,508.9 "," 18,027.3 "," 16,763.7 "," 16,918.9 "," 14,842.5 "," 14,454.8 "," 16,336.4 "," 17,087.1 "," 14,616.7 "," 13,080.4 "," 18,002.0 "," 21,480.9 "," 16,665.8 "," 17,416.1 "," 19,402.0 "
